"TOA5","4175","CR6","4175","CR6.14.5.0 CR6-WIFI.05.03","CPU:single_polled_ARPA_1.05.CR6","28493","Sonic"
"TIMESTAMP","RECORD","u_1","v_1","w_1","Ts_1","SS_1","ChkSumF_1"
"TS","RN","m/s","m/s","m/s","C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-03-26 03:00:12.7",21740207,-5.978,8.919,1.617,7.08,"00",-1
"2026-03-26 03:00:12.75",21740208,-6.075,9.92,1.249,7.27,"00",-1
"2026-03-26 03:00:12.8",21740209,-5.572,9.328,1.257,7.2,"00",-1
"2026-03-26 03:00:12.85",21740210,-5.109,9.048,0.779,7.47,"00",-1
"2026-03-26 03:00:12.9",21740211,-4.107,9.857,0.394,7.02,"00",-1
"2026-03-26 03:00:12.95",21740212,-6.456,10.182,0.461,7.43,"00",-1
"2026-03-26 03:00:13",21740213,-7.073,9.315,0.801,7.25,"00",-1
"2026-03-26 03:00:13.05",21740214,-6.353,9.169,-1.206,7.37,"00",-1
"2026-03-26 03:00:13.1",21740215,-6.367,9.32,-0.436,7.22,"00",-1
"2026-03-26 03:00:13.15",21740216,-7.944,7.831,-1.06,7.5,"00",-1
"2026-03-26 03:00:13.2",21740217,-5.605,9.643,-2.166,7.35,"00",-1
"2026-03-26 03:00:13.25",21740218,-2.36,10.183,0.74,7.62,"00",-1
"2026-03-26 03:00:13.3",21740219,-4.034,9.377,-0.391,7.1,"00",-1
"2026-03-26 03:00:13.35",21740220,-4.686,9.236,-0.688,7.32,"00",-1
"2026-03-26 03:00:13.4",21740221,-5.531,7.914,-0.395,7.15,"00",-1
"2026-03-26 03:00:13.45",21740222,-6.336,8.786,0.291,7.53,"00",-1
"2026-03-26 03:00:13.5",21740223,-6.404,8.15,0.933,7.18,"00",-1
"2026-03-26 03:00:13.55",21740224,-9.88,9.949,0.893,7.38,"00",-1
"2026-03-26 03:00:13.6",21740225,-7.21,9.357,1.432,7.8,"00",-1
"2026-03-26 03:00:13.65",21740226,-10.101,6.402,1.414,7.48,"00",-1
"2026-03-26 03:00:13.7",21740227,-8.493,7.423,1.83,7.63,"00",-1
"2026-03-26 03:00:13.75",21740228,-7.191,6.449,1.462,7.4,"00",-1
"2026-03-26 03:00:13.8",21740229,-4.927,9.192,1.072,7.1,"00",-1
"2026-03-26 03:00:13.85",21740230,-6.082,7.662,1.723,7.52,"00",-1
"2026-03-26 03:00:13.9",21740231,-6.431,7.48,0.885,6.95,"00",-1
"2026-03-26 03:00:13.95",21740232,-5.878,7.167,1.178,7.28,"00",-1
"2026-03-26 03:00:14",21740233,-5.723,7.187,2.345,7.17,"00",-1
"2026-03-26 03:00:14.05",21740234,-5.765,8.213,1.903,7.15,"00",-1
"2026-03-26 03:00:14.1",21740235,-6.429,8.647,1.64,7.25,"00",-1
"2026-03-26 03:00:14.15",21740236,-6.834,7.703,0.489,7.33,"00",-1
"2026-03-26 03:00:14.2",21740237,-8.118,7.308,0.635,7.07,"00",-1
"2026-03-26 03:00:14.25",21740238,-7.592,8.429,1.5,7.33,"00",-1
"2026-03-26 03:00:14.3",21740239,-6.598,8.395,1.517,7.28,"00",-1
"2026-03-26 03:00:14.35",21740240,-5.719,7.003,1.673,7.17,"00",-1
"2026-03-26 03:00:14.4",21740241,-5.799,6.259,1.637,7.07,"00",-1
"2026-03-26 03:00:14.45",21740242,-3.881,7.463,1.047,7.23,"00",-1
"2026-03-26 03:00:14.5",21740243,-2.41,8.264,1.323,6.98,"00",-1
"2026-03-26 03:00:14.55",21740244,-5.013,7.118,2.079,7,"00",-1
"2026-03-26 03:00:14.6",21740245,-5.188,7.402,1.439,6.88,"00",-1
"2026-03-26 03:00:14.65",21740246,-3.563,7.749,1.116,7.28,"00",-1
"2026-03-26 03:00:14.7",21740247,-4.114,6.99,1.34,7.4,"00",-1
"2026-03-26 03:00:14.75",21740248,-3.459,6.083,3.38,7.2,"00",-1
"2026-03-26 03:00:14.8",21740249,-2.561,7.259,2.428,7.37,"00",-1
